strategy_label,N,mu,K,num_runs,num_NashEqu,num_StateRobust,num_RobustNashEqu
3strats,2,0.04,30,100,99,100,99
3strats,3,0.04,30,100,92,100,92
3strats,5,0.04,30,100,100,100,100
3strats,7,0.04,30,100,100,100,100
3strats,10,0.04,30,100,100,100,100
3strats,2,0.07,30,100,94,100,94
3strats,3,0.07,30,100,100,100,100
3strats,5,0.07,30,100,92,100,92
3strats,7,0.07,30,100,90,100,90
3strats,10,0.07,30,100,98,100,98
3strats,2,0.1,30,100,86,100,86
3strats,3,0.1,30,100,100,100,100
3strats,5,0.1,30,100,99,100,99
3strats,7,0.1,30,100,99,100,99
3strats,10,0.1,30,100,91,100,91
3strats,2,0.13,30,100,83,100,83
3strats,3,0.13,30,100,100,100,100
3strats,5,0.13,30,100,100,100,100
3strats,7,0.13,30,100,100,100,100
3strats,10,0.13,30,100,99,100,99
3strats,2,0.16,30,100,73,100,73
3strats,3,0.16,30,100,100,100,100
3strats,5,0.16,30,100,99,100,99
3strats,7,0.16,30,100,100,100,100
3strats,10,0.16,30,100,100,100,100
3strats,2,0.19,30,100,70,100,70
3strats,3,0.19,30,100,100,100,100
3strats,5,0.19,30,100,100,100,100
3strats,7,0.19,30,100,100,100,100
3strats,10,0.19,30,100,100,100,100
3strats,2,0.22,30,100,64,100,64
3strats,3,0.22,30,100,100,100,100
3strats,5,0.22,30,100,100,100,100
3strats,7,0.22,30,100,100,100,100
3strats,10,0.22,30,100,100,100,100
3strats,2,0.25,30,100,71,100,71
3strats,3,0.25,30,100,100,100,100
3strats,5,0.25,30,100,99,100,99
3strats,7,0.25,30,100,100,100,100
3strats,10,0.25,30,100,100,100,100
3strats,2,0.28,30,100,68,100,68
3strats,3,0.28,30,100,100,100,100
3strats,5,0.28,30,100,99,100,99
3strats,7,0.28,30,100,100,100,100
3strats,10,0.28,30,100,100,100,100
3strats,2,0.31,30,100,71,100,71
3strats,3,0.31,30,100,100,100,100
3strats,5,0.31,30,100,100,100,100
3strats,7,0.31,30,100,100,100,100
3strats,10,0.31,30,100,100,100,100
4strats,2,0.04,30,100,51,100,51
4strats,3,0.04,30,100,89,100,89
4strats,5,0.04,30,100,99,100,99
4strats,7,0.04,30,100,100,100,100
4strats,10,0.04,30,100,42,100,42
4strats,2,0.07,30,100,57,100,57
4strats,3,0.07,30,100,97,100,97
4strats,5,0.07,30,100,97,100,97
4strats,7,0.07,30,100,95,100,95
4strats,10,0.07,30,100,42,100,42
4strats,2,0.1,30,100,74,100,74
4strats,3,0.1,30,100,100,100,100
4strats,5,0.1,30,100,99,100,99
4strats,7,0.1,30,100,100,100,100
4strats,10,0.1,30,100,39,100,39
4strats,2,0.13,30,100,77,100,77
4strats,3,0.13,30,100,99,100,99
4strats,5,0.13,30,100,100,100,100
4strats,7,0.13,30,100,100,100,100
4strats,10,0.13,30,100,98,100,98
4strats,2,0.16,30,100,71,100,71
4strats,3,0.16,30,100,100,100,100
4strats,5,0.16,30,100,100,100,100
4strats,7,0.16,30,100,100,100,100
4strats,10,0.16,30,100,98,100,98
4strats,2,0.19,30,100,71,100,71
4strats,3,0.19,30,100,100,100,100
4strats,5,0.19,30,100,100,100,100
4strats,7,0.19,30,100,100,100,100
4strats,10,0.19,30,100,88,100,88
4strats,2,0.22,30,100,76,100,76
4strats,3,0.22,30,100,100,100,100
4strats,5,0.22,30,100,100,100,100
4strats,7,0.22,30,100,100,100,100
4strats,10,0.22,30,100,90,100,90
4strats,2,0.25,30,100,81,100,81
4strats,3,0.25,30,100,100,100,100
4strats,5,0.25,30,100,100,100,100
4strats,7,0.25,30,100,100,100,100
4strats,10,0.25,30,100,96,100,96
4strats,2,0.28,30,100,78,100,78
4strats,3,0.28,30,100,100,100,100
4strats,5,0.28,30,100,100,100,100
4strats,7,0.28,30,100,100,100,100
4strats,10,0.28,30,100,100,100,100
4strats,2,0.31,30,100,77,100,77
4strats,3,0.31,30,100,100,100,100
4strats,5,0.31,30,100,100,100,100
4strats,7,0.31,30,100,100,100,100
4strats,10,0.31,30,100,100,100,100
